symbol,name,exchange
^NQUSB0577LMJPYN,NQ US Pipelines Large Mid Cap,
^NQUSS4570GBPN,NQ US Sm Cap Pharma & Biotech G,
^NQUSB3760AUDN,NQ US Bnchmk Psnl Goods AUD NTR,
^NQUSB3570LMEURN,NQ US Food Producers Large Mid,
^NQUSS3767N,NQ US Sm Cap Psnl Products Inde,
^NQPH8000LMT,NASDAQ Philippines Financials L,
^NQPH5000LMAUD,NASDAQ Philippines Cnsmr Svcs L,
SCOSL.Z,,
^RUASPDF,Russell Asia Pacific Defensive,WCB
^SP600-302020,S&P 600 Food Products (Industry,SNP
^NQPHMCT,The NASDAQ Philippines Mid Cap,
U0F.Z,STXE TM TELEC.EQU PR USD,ZRH
^NQUSB3570LMEUR,NQ US Food Producers Large Mid,
3064820.SG,,
^SPGSPLTR,S&P GSCI Platinum TR,SNP
Q5J.Z,STXETMPHB USD P,ZRH
BENK.Z,,
REXD.DE,,
SXXNBL.Z,,
^NQUSS3570CAD,NQ US Sm Cap Food Producers CAD,
^NQPELMEURN,NASDAQ Peru Large Mid Cap EUR N,
^RGRP,,
^NQEMEU3300EURN,NASDAQ EM Europe Auto & Parts E,
^MSAPUSDP,Morningstar Asia Pac ex-Jpn Ind,SNP
Q7H.Z,ESTXTMSWS EUR P,ZRH
^NQNA3700LMEUR,NASDAQ N America Psnl&Hhld Good,
^RUPE60N,^RUPE60N,WCB
WIPACS7530.FGI,,
^NQUSM3570GBP,NQ US Md Cap Food Producers GBP,
0JYV.Z,ACEUVOLCON 25 P EUR,ZRH
^NQUSL4577EURT,NQ US Lg Cap Pharma EUR TR Inde,
^NQUSL3300GBP,NQ US Lg Cap Auto & Parts GBP I,
4N8R.DE,DAXSUB ALL DIV P,GER
WIITA3570.L,,
^NQPESCT,The NASDAQ Peru Small Cap Index,
WIPACS5750.FGI,,
10450858.SW,,
3BUW.DE,DAXGLOBAL GCC US P,GER
^SPCBMIRAPUSD,S&P Asia Pacific BMI (US Dollar,SNP
^NQUSS3767GBP,NQ US Sm Cap Psnl Products GBP,
^YHOH832,^YHOH832,
^NQDM3300AUDN,NASDAQ Developed Auto & Parts A,
S3DCC.Z,,
^NQUSS8536GBP,NQ US Sm Cap Property & Casualt,
SBOXDIMAXDE.SG,,
^NQPL8000LMPLN,NASDAQ Poland Financials Lg Md,
^NQPTSCEURN,NASDAQ Portugal Small Cap EUR N,
^NQUSM5557AUDT,NQ US Md Cap Publishing AUD TR,
STVL.Z,,
SXE55P.Z,,
WIPOL9000.L,,
^SGIXPAPE,SGI Pan Africa Index (EURO),SNP
^NQPH5000CADN,NASDAQ Philippines Cnsmr Svcs C,
SXUKP.Z,,
Q6L.Z,ESTX TM HSH.GD.PR.USD,ZRH
FABK.DE,INAV PWSHS R DEMS E,GER
SAA10P.SW,SBI AAA-AA 10+ P,EBS
^NQNA3300LMGBPT,NASDAQ N America Auto & Parts L,
XBINF.Z,,
^RMICMPT,Russell Microcap Materials & Pr,WCB
^NQUSB2723LMGBP,NQ US Containers & Packaging L,
SXAM45P.Z,,
^YHOH726,^YHOH726,
^SPGSPM,S&P GSCI Precious Metals,SNP
^NQPL2000PLN,NASDAQ Poland Inds PLN Index,
SIPFRP.Z,,
4N8P.DE,DAXSUB ALL CONT P,GER
IPMEM.PA,COMSTAGE PMEM INAV,PAR
SXE57L.Z,,
^NQDMASIA3300EURN,NASDAQ DM Asia Auto & Parts EUR,
SXW9TECE.Z,,
SAA11P.SW,SBI AAA-AA 1-10 P,EBS
P4E7.DE,DAXSUBPREQVECAEUR,GER
XBCGH.Z,,
^NQPH5000LM,NASDAQ Philippines Cnsmr Svcs L,
1260675.IS,,
^NQDMASPA3300EUR,NASDAQ DM ASPA Auto & Parts EUR,
^SPAU26,S&P Pan Asia BMI Software & Ser,SNP
SXABCL.Z,,
31549567.SG,,
SXP1TLS.Z,,
^NQUSM2723EUR,NQ US Md Cap Containers & Packa,
SXESP.Z,,
TCMTL.Z,,
18118663.SW,,
^NQEURO3700LMCAD,NASDAQ Eurozone Psnl&Hhld Goods,
^NQUSCHK,NASDAQ Chaikin Power US Small C,
SXLELC.Z,,
^RDPBSTRUSD,Russell Developed Pac Bas SC To,WCB
EEORDP.Z,,
QD7W.DE,INAVDBMSCIEMLAT1CE,GER
Q4J.Z,STXETMHHG USD NR,ZRH
Q2Q.Z,STXE TM RETAIL PR.USD,ZRH
CACSH.NX,,
^QEFA-EU,SPDR MSCI EAFE StrategicFactors,NYSE
Q011.Z,STX AM600 RE.EST.RE USD,ZRH
IRTSE.PA,,
IIBEL.PA,,
IIJPE.PA,,
Q4E.Z,STXETMHEE USD NR,ZRH
REITG.AS,REIT EUROPE GR,AMS
INCMU.NX,,
INBGX.PA,,
CS3L.PA,CS3L INDEX,PAR
Q5Y.Z,ESTX TM E.E.E.RE.USD,ZRH
ENVUK.NX,,
CAC5S.PA,CAC 40 X5 SHORT GR,PAR
^NTIQDDYTR,Northern Trust International Qu,NYS
INEIA.PA,,
INAUT.NX,,
Q5Q.Z,STXETMSWS USD NR,ZRH
INIGE.NX,,
AEXNR.NX,,
NLIN.AS,AEX INDUSTRIALS,AMS
ICSEM.PA,,
Q3L.Z,STX NORDIC TM T.L. RE.USD,ZRH
31562012.SG,,
Q23.Z,STXEXUKTMRTL EURNR,ZRH
VIV3L.NX,,
IIMIE.PA,SPDR IMIE INAV,PAR
INCW8.PA,AMUNDI CW8 INAV,PAR
NEIBI.NX,,
NLRS.PA,,
NLMED.AS,,
Q0Q.Z,STXETMCNS EUR NR,ZRH
INUS3.NX,,
INITK.NX,,
ISGVB.NX,,
INEAG.PA,,
AEX3L.NX,,
INDS2.PA,ETFS DES2 VLI,PAR
IUS57.PA,LYXOR US57 INAV,PAR
INMTA.PA,LYXOR MTA INAV,PAR
IFTSE.PA,AMUNDI FTSE INAV,PAR
AMXNR.AS,AMX NR,AMS
NAOII.PA,ALT BPIFR INNOVAT,PAR
INNTM.NX,,
ICBE3.NX,,
FRTCN.PA,CAC TECHNOLOGY NR,PAR
INIAC.PA,,
AELRG.AS,AEX LOW RISK GR,AMS
IINDW.NX,,
Q7C.Z,ESTXTMPEG USD NR,ZRH
ICNDX.NX,,
CAC4S.PA,CAC 40 X4 SHORT GR,PAR
INUSA.PA,LYXOR USA INAV,PAR
INRUA.PA,,
AEXXB.NX,,
INCC1.PA,AMUNDI CC1 INAV,PAR
INAPD.NX,,
ICUKX.PA,CS ETF CUKX INAV,PAR
Q39.Z,STXETMGEI EUR NR,ZRH
INCE9.NX,,
INCJ1.NX,,
IDSU2.NX,,
ICSJP.NX,,
NLREG.NX,,
INDLB.NX,,
Q59.Z,ESTXTMGEF EUR NR,ZRH
^CN20,CAC NEXT 20,PAR
CAR.PA,CAC LARGE 60 GR,PAR
IAWWF.NX,,
IMEUD.NX,,
INWAT.NX,,
NLTEL.AS,AEX TELECOM.,AMS
ISMRP.NX,,
ICOUK.PA,LYXOR COUK INAV,PAR
ICUKS.NX,,
INENG.NX,,
INXEM.PA,,
BEBEP.NX,,
INPP2.PA,COMSTAGE PP2 INAV,PAR
INTDT.NX,,
REITE.AS,REIT EUROPE,AMS
INMAL.PA,LYXOR MAL INAV,PAR
INEEV.NX,,
INBNK.PA,LYXOR BNK INAV,PAR
IISJP.NX,,
SXIPDQ.Z,,
ICEMA.PA,CS ETF CEMA INAV,PAR
Q00J.Z,STXAM6BNK EUR NR,ZRH
IMATU.PA,,
BETP.BR,BEL TECHNOLOGY,BRU
INCEM.PA,AMUNDI CEM INAV,PAR
IUTLU.NX,,
^SPBRQBT,S&P/BOVESPA Quality Index TR,SNP
INC1U.NX,,
Q1F.Z,STXNDTMCNS USD NR,ZRH
IESD.PA,EASYETF ESD INAV,PAR
Q09F.Z,STX AM600 TR.+LEIS.RE EUR,ZRH
DEMBL.NX,,
IRS2K.NX,,
BETEL.NX,,
INC5S.PA,AMUNDI C5S INAV,PAR
INCD9.NX,,
NLMED.NX,,
IETZ.NX,,
ENVFN.NX,,
INIBI.NX,,
CACLG.PA,CAC LARGE 60,PAR
INTWN.PA,LYXOR TWN INAV,PAR
INCB3.PA,AMUNDI CB3 INAV,PAR
INRTA.NX,,
^SPQDXUUT,S&P Quality Developed Ex US Lar,SNP
INTEL.NX,,
SXEPDQ.Z,,
IMEXI.PA,,
^NXTQ,NASDAQ Q 50,
CACTL.NX,,
INAU2.NX,,
^NTIQDDFTR,Northern Trust International Qu,NYS
BEIN.NX,,
Q5L.Z,STXETMPHB USD NR,ZRH
QLGC.FGI,,
SX7EDQ.Z,,
FRAD.PA,,
INEGZ.NX,,
Q76.Z,STXE TM INTERNET RE USD,ZRH
NLMBG.NX,,
^STRQCSTR,Strata Quant Consumer Staples I,NYS
CA12L.PA,,
Q01I.Z,STXAM6INS USD NR,ZRH
INC10.NX,,
INCWF.PA,AMUNDI CWF INAV,PAR
FRCHN.PA,,
INIJA.NX,,
ESIEG.AS,ESI EXC EUROPE GR,AMS
Q3M.Z,STXNDTMP&H EURP,ZRH
INS10.NX,,
INX1G.NX,,
AEXDI.NX,,
AMX4L.NX,,
IEUXF.NX,,
INDJM.NX,,
ICSCA.PA,CS ETF CSCA INAV,PAR
INC73.PA,AMUNDI C73 INAV,PAR
Q019.Z,STX AM600 TECHN. RE USD,ZRH
NLCGG.NX,,
FRUTN.NX,,
INCH5.NX,,
INITW.PA,,
INCSW.PA,AMUNDI CSW INAV,PAR
ICOSU.NX,,
ALO3L.NX,,
INCRN.PA,LYXOR CRN INAV,PAR
Q4V.Z,STXETMLFI EUR NR,ZRH
10000005.BC,,
INERD.PA,,
FRGF.PA,,
INTDT.PA,,
Q00S.Z,STXAM6CHE EUR NR,ZRH
ENVBN.NX,,
FTE3L.NX,,
Q00F.Z,STXAM6A&P EUR NR,ZRH
IEMLA.NX,,
INNAA.NX,,
INICO.NX,,
IINDW.PA,LYXOR INDW INAV,PAR
IUTLW.PA,LYXOR UTLW INAV,PAR
ICOMF.NX,,
Q2F.Z,STXETMT&L EURP,ZRH
INSU7.NX,,
IMA35.PA,LYXOR MA35 INAV,PAR
ENVUK.AS,EN VIGEO UK 20,AMS
SXNEDQ.Z,,
FRINN.PA,CAC INDUSTRIALS NR,PAR
Q006.Z,STX AM600 FD +BEV. RE USD,ZRH
IINLD.PA,,
ICSPX.PA,CS ETF CSPX INAV,PAR
AEXEW.AS,AEX EQUAL WEIGHT,AMS
CN20N.NX,,
FRFNN.NX,,
ACA3L.PA,ACA3L INDEX,PAR
ITGBT.NX,,
ICIND.NX,,
IEXFN.NX,,
ITSYE.NX,,
IVUSE.PA,,
INC5L.PA,AMUNDI C5L INAV,PAR
20944624.NX,,
AEXEG.NX,,
Q52.Z,ESTXTMF&D USD NR,ZRH
INCMF.PA,ETFX CMF INAV,PAR
IRGCC.NX,,
Q2W.Z,STXEXUKTMT&L USDNR,ZRH
24380824.SG,,
INXSX.PA,,
AEXGR.NX,,
INFIN.PA,LYXOR FIN INAV,PAR
AMXGR.AS,AMX GR,AMS
IRBRE.NX,,
INBXX.PA,LYXOR BXX INAV,PAR
Q7B.Z,ESTX TM PRS.GDS.RE.EUR,ZRH
INMUS.NX,,
ITCBT.NX,,
BEBM.NX,,
ILTMP.PA,LYXOR LTMP INAV,PAR
Q11.Z,STXE6XUKP&H USDNR,ZRH
IEMLA.PA,SPDR EMLA INAV,PAR
ENVUN.AS,EN VIGEO UK 20 NR,AMS
IYIEL.PA,LYXOR YIEL INAV,PAR
INC33.NX,,
^QEMM-NV,SPDR MSCI Emerging Markets Stra,NYSE
IMATU.NX,,
IINDO.PA,LYXOR INDO INAV,PAR
IINDO.NX,,
^QTRN.QA,QE Transportation Index,DOH
DG5L.NX,,
IMATW.NX,,
FRBN.PA,,
CMSN.NX,,
INTPS.NX,,
31528711.SG,,
N150G.NX,,
INMOO.NX,,
INXAS.NX,,
INIMA.PA,,
Q6H.Z,ESTXTMHEE EUR NR,ZRH
CACEG.NX,,
IAUEM.NX,,
AEX5S.NX,,
Q3B.Z,ESTXTMP&H EUR NR,ZRH
ENG5L.PA,GSZ5L INDEX,PAR
AEXGR.AS,AEX GR,AMS
INCI3.NX,,
INCP9.NX,,
IMI10.NX,,
ISMRU.NX,,
IAXFI.NX,,
31562013.SG,,
Q01L.Z,STXAM6MDA EUR NR,ZRH
IMFED.NX,,
ICESL.PA,CS ETF CESL INAV,PAR
QD72.DE,,
INBRE.NX,,
AEEXT.NX,,
IDSUK.PA,,
ICSX5.PA,CS ETF CSX5 INAV,PAR
INPAF.NX,,
NLCS.AS,AEX CONSUMER SERV.,AMS
FRIE.PA,,
SXAPDQ.Z,,
Q1Y.Z,STXE6XUKP&H EURP,ZRH
IDLVO.AS,,
AEXEN.AS,AEX EQUAL W NR,AMS
ISAUS.NX,,
INIEE.NX,,
AEX6L.NX,,
FRTEC.PA,CAC TECHNOLOGY,PAR
INHBZ.NX,,
AAXG.NX,,
INTPS.PA,,
CACEW.NX,,
BECGP.NX,,
CAC7L.PA,CAC 40 X7 LEV NR,PAR
FRITN.PA,,
IBTPS.NX,,
PTUT.LS,PSI UTILITIES,LIS
INC8M.NX,,
NLIN.NX,,
NLFIN.AS,AEX FINANCIALS,AMS
PTFIN.LS,PSI FINANCIALS,LIS
INC6E.NX,,
IPSMI.NX,,
VK3L.NX,,
INECB.PA,LYXOR ECB INAV,PAR
NLCMW.NX,,
INCRB.NX,,
INIAC.NX,,
^RBAQI,Richard Bernstein Advisors Qual,NYS
Q18.Z,ESTX TR. + LS RE.USD,ZRH
INEJP.PA,EASYETF EJP INAV,PAR
IPAFS.PA,LYXOR PAFS INAV,PAR
Q4Z.Z,STXE TM MINING RE.EUR,ZRH
IPCEC.PA,LYXOR PCEC INAV,PAR
ITSYE.PA,SPDR TSYE INAV,PAR
INERR.NX,,
BELXB.BR,BEL 20 XBEAR GR,BRU
ENVBN.AS,EN VIGEO BNL 20 NR,AMS
IDSU3.NX,,
ICI2U.PA,AMUNDI CI2U INAV,PAR
SXEQIV.Z,,
^QCON.QA,QE Consumer Goods & Services In,DOH
^QWLD-EU,SPDR MSCI World StrategicFactor,NYSE
Q3U.Z,STXE TM EL.+EL.EQ. RE.USD,ZRH
AEX3S.AS,AEX X3 SHORT GR,AMS
Q3E.Z,ESTXTMRTL USD P,ZRH
Q08.Z,STXNDTMCNG EUR P,ZRH
ILUXU.NX,,
INXLA.PA,,
Q47.Z,STXETMO&GP EUR NR,ZRH
Q7K.Z,ESTXTMSWS EUR NR,ZRH
IWIG.NX,,
FRLEG.PA,,
IULVX.PA,,
20944623.NX,,
ENVOG.AS,EN VIGEO EUR120 GR,AMS
^NTUQDDYTR,Northern Trust Quality Dividend,NYS
ICI2U.NX,AM.E.MS.INDIA INAV,ENX
ISDIG.PA,ISHARES SDIG INAV,PAR
INCG9.PA,AMUNDI CG9 INAV,PAR
INPFA.PA,,
INMTX.NX,,
INCB5.NX,,
Q56.Z,ESTX TM GAS WT RE.USD,ZRH
^WTEDG,WisdomTree Europe Quality Divid,SNP
ININD.NX,,
REITN.NX,,
IPJPH.NX,,
Q4Y.Z,STXETMMIN USD P,ZRH
INEEW.NX,,
INPAF.PA,LYXOR PAF INAV,PAR
I500H.NX,,
FRFIN.PA,CAC FINANCIALS,PAR
Q0F.Z,STXE6CNS USD P,ZRH
Q1V.Z,STXE6XUKT&L USDP,ZRH
Q72.Z,STXETMCPS USD NR,ZRH
PTCSP.NX,,
Q0UZ.Z,STOXX AMERICAS 600,ZRH
Q09C.Z,STXAM6TEL USD NR,ZRH
QD7E.DE,INAV DBXT S+P 2XINV.D.USD,GER
INERR.PA,,
NLEI.NX,,
^NTUQDDFTR,Northern Trust Quality Dividend,NYS
ESIEG.NX,,
CS5L.PA,CS5L INDEX,PAR
SIIC.NX,,
FRMDN.PA,,
SX6PDQ.Z,,
ENVBG.NX,,
^NTIQD,Northern Trust International Qu,NYS
ILEMO.NX,,
PTCS.LS,PSI CONSUMER SERV,LIS
ICUSS.NX,,
^SPXQUN,S&P 500 Quality (US Dollar) Net,SNP
Q2X.Z,STXEXUKTMP&H EURP,ZRH
IALAU.PA,AMUNDI ALAU INAV,PAR
INPXF.NX,,
ICBE7.PA,CS ETF CBE7 INAV,PAR
Q7E.Z,ESTX TM PHRM.BIO.PR.USD,ZRH
INSHC.PA,LYXOR SHC INAV,PAR
IDSVO.AS,,
NLGF.NX,,
IASNR.NX,,
SIIC.PA,IEIF SIIC FRANCE,PAR
^QETR.QA,QE Total Return Index,DOH
INISG.PA,,
PTTEC.LS,PSI TECHNOLOGY,LIS
CACSR.NX,,
NLFIN.NX,,
INITW.NX,,
BEFPP.BR,,
BEBEV.BR,,
Q71.Z,STXETMCPS EUR NR,ZRH
NLMDG.AS,,
INPP2.NX,,
INDSD.PA,LYXOR DSD INAV,PAR
ICODU.PA,,
SX3EDQ.Z,,
Q8B.Z,STX400PR&HOGDUSDPR,ZRH
FRGWM.PA,,
INBGM.PA,,
INBTS.NX,,
LPTNT.NX,,
IRAXS.PA,,
Q3V.Z,STXETMF&D EUR P,ZRH
INDSB.NX,,
IHLTW.NX,,
NLCGG.AS,AEX CONS GOODS GR,AMS
Q00L.Z,STXAM6BAR EUR P,ZRH
LC100.NX,,
ICP9U.PA,AMUNDI CP9U INAV,PAR
INREU.PA,,
CN20G.PA,CAC NEXT 20 GR,PAR
VCAC.NX,,
INQQQ.NX,,
Q25.Z,ESTXTMT&L EUR P,ZRH
FCIGR.NX,,
ICC1U.NX,,
Q60.Z,ESTX TM NLF.IN. RE.USD,ZRH
^NTUQVMTR,Northern Trust Quality Large Ca,NYS
INTMX.PA,,
PENXG.AS,,
Q75.Z,STXE TM INTERNET RE EUR,ZRH
NAOII.NX,,
CACMR.NX,,
INCH1.PA,AMUNDI CH1 INAV,PAR
INPPP.PA,COMSTAGE PPP INAV,PAR
^QIND.QA,QE Industrials Index,DOH
^SPVSQUP,^SPVSQUP,SNP
VK5L.PA,VK5L INDEX,PAR
FRINN.NX,,
INBGL.NX,,
Q09G.Z,STXAM6T&L USD NR,ZRH
IPC40.PA,COMSTAGE PC40 INAV,PAR
PTTEL.LS,PSI TELECOM GR,LIS
20779114.SG,,
AELRG.NX,,
IRS2K.PA,AMUNDI RS2K INAV,PAR
IAHYE.PA,AMUNDI AHYE INAV,PAR
Q2V.Z,STXEXUKTMT&L EURNR,ZRH
AEXPP.AS,AEX PROTECTIVE PUT,AMS
21771529.NX,,
Q0L.Z,STXETMCNG EUR NR,ZRH
NLMBG.PA,EN MALT BARLEY GR,PAR
IERND.PA,ISHARES ERND INAV,PAR
NLRS.NX,,
INMFE.NX,,
INLQQ.NX,,
INCWE.NX,,
IGDIV.NX,,
PTTEL.NX,,
Q003.Z,STXAM6F&B EUR P,ZRH
ICNAA.PA,LYXOR CNAA INAV,PAR
INCSW.NX,,
INZ4L.NX,,
INIAG.PA,,
Q32.Z,"STXE TM GAS,W.+M. RE.USD",ZRH
PTFIP.NX,,
Q2U.Z,STXEXUKTMT&L USDP,ZRH
INSHC.NX,,
INTHA.NX,,
INCRB.PA,LYXOR CRB INAV,PAR
FDEFQVY5.FGI,FTSEDVEU Q/V/Y5%CF,FGI
IPNIK.PA,COMSTAGE PNIK INAV,PAR
^QEAS.QA,QE All Share Index,DOH
Q3Y.Z,STXETMF&D USD NR,ZRH
Q1Z.Z,STXE6XUKP&H USDP,ZRH
BEMED.BR,BEMED.BR,BRU
BEL2S.BR,BEL 20 X2 SHORT GR,BRU
INPEH.NX,,
Q09.Z,STXNDTMCNG USD P,ZRH
Q09H.Z,STXAM6UTI EUR P,ZRH
QD78.DE,INAVDBSP5002XLEVDGB,GER
Q01W.Z,STX AM600 P.+HH.GD.RE USD,ZRH
ININR.PA,LYXOR INR INAV,PAR
ALASI.NX,,
IIRCP.NX,,
IAA13.NX,,
ICEMU.NX,,
NLCNG.NX,,
FRGFN.PA,,
ICACM.PA,LYXOR CACM INAV,PAR
INPIO.PA,PWSHARES PIO INAV,PAR
BECHP.BR,,
QMID.L,,
FRBM.NX,,
AMX3S.AS,,
INUTI.NX,,
Q69.Z,ESTXTMPEG EUR P,ZRH
INEEB.NX,,
Q8G.Z,STX 400 RETAIL PR,ZRH
PSISH.NX,,
IRFRM.PA,,
IEXXY.PA,ISHARES EXXY INAV,PAR
CACLR.NX,,
AMX3S.NX,,
Q15.Z,STXE6XUKRTL USDNR,ZRH
IPCCS.PA,COMSTAGE PCCS INAV,PAR
Q00V.Z,STXAM6C&M USD P,ZRH
31562010.SG,,
INBTM.PA,,
INMTC.PA,LYXOR MTC INAV,PAR
IPS5E.PA,COMSTAGE PS5E INAV,PAR
INCU2.NX,,
INCD8.PA,AMUNDI CD8 INAV,PAR
INCI2.PA,AMUNDI CI2 INAV,PAR
Q05.Z,ESTX TM CNS.SERVS PR.USD,ZRH
CAC4L.NX,,
INTUR.NX,,
ITGET.NX,,
INPXF.PA,,
VAEX.AS,AEX VOLAT.INDEX,AMS
IETZ.PA,EASYETF ETZ INAV,PAR
NEIBT.NX,,
ICPXJ.PA,CS ETF CPXJ INAV,PAR
^STRQMTTR,Strata Quant Materials Index (T,NYS
VIE5L.NX,,
ININR.NX,,
IINDS.PA,,
INAEJ.NX,,
IWIG.PA,LYXOR WIG INAV,PAR
INMEM.PA,HSBC MEM INAV,PAR
BVL.LS,PSI ALL-SHARE,LIS
INIBC.NX,,
Q4G.Z,STXETMHHG USD P,ZRH
ISGQU.PA,LYXOR SGQU INAV,PAR
CACTN.NX,,
BEL3L.BR,BEL X3 LEV,BRU
INBXX.NX,,
ICW8U.NX,,
EN5L.PA,EN5L INDEX,PAR
INMTA.NX,,
INUSP.PA,,
Q6W.Z,ESTXTMLFI USD NR,ZRH
INC50.PA,AMUNDI C50 INAV,PAR
IETUR.PA,LYXOR ETUR INAV,PAR
IN100.PA,LYXOR L100 INAV,PAR
CN20G.NX,,
INMTD.PA,LYXOR MTD INAV,PAR
Q95.Z,STXETMBIO USD NR,ZRH
INCP9.PA,AMUNDI CP9 INAV,PAR
NAOIG.PA,ALT BPIFR INNO GR,PAR
INC40.PA,AMUNDI C40 INAV,PAR
Q00M.Z,STXAM6BAR USD P,ZRH
CA10S.NX,,
CACLV.NX,,
IGILS.NX,,
INCB3.NX,,
Q01P.Z,STXAM6O&G USD P,ZRH
INPSP.NX,,
CAC2S.NX,,
BEGFP.BR,,
Q0M.Z,STXE TM CON.GOODS RE.USD,ZRH
SIICG.PA,IEIF SIIC FR GR,PAR
INDIV.NX,,
ISP5H.PA,LYXOR SP5H INAV,PAR
NLFPG.NX,,
INITK.PA,,
CAC6S.NX,,
CAC5L.NX,,
IPAFS.NX,,
IAA13.PA,AMUNDI AA13 INAV,PAR
SXEQIP.Z,,
INC33.PA,AMUNDI C33 INAV,PAR
ICEMA.NX,,
IBBEM.PA,,
CACDI.PA,CAC 40 DI,PAR
PSILV.LS,PSI 20 LEVERAGE,LIS
INUTI.PA,LYXOR UTI INAV,PAR
INIJP.PA,,
Q01F.Z,STXAM6INS USD P,ZRH
INCI5.PA,AMUNDI LUX INAV,PAR
SX7PDQ.Z,,
^STRQUTTR,Strata Quant Utilities Index (T,NYS
INC50.NX,,
INMTC.NX,,
ICNAA.NX,,
QD7L.DE,INAV DBXT MSCI J.T.C1 SEK,GER
IAWAT.NX,,
IGLDU.NX,,
Q2H.Z,STXETMT&L EURNR,ZRH
QD7M.DE,INAVDBMSCIUSA1CSE,GER
IAUEM.PA,AMUNDI AUEM INAV,PAR
CAC4L.PA,CAC 40 X4 LEV NR,PAR
Q6N.Z,ESTXTMHHG USD NR,ZRH
NEIBI.LS,IBERIAN INDEX,LIS
AEXXB.AS,AEX XBEAR GR,AMS
AMX5L.NX,,
BECG.NX,,
QD7J.DE,INAVDBMSCIWORLD1CSE,GER
Q7P.Z,ESTXTMTEQ EUR NR,ZRH
NLGFG.AS,,
INCL2.PA,AMUNDI CLU INAV,PAR
IANXU.NX,,
Q55.Z,ESTXTMGAW EUR NR,ZRH
Q6E.Z,ESTXTMGEI USD NR,ZRH
ICEUL.PA,,
CAC7L.NX,,
INRMI.PA,,
IVAPX.PA,VANG VAPX INAV,PAR
AEXCC.AS,AEX COVERED CALL,AMS
IPDXS.NX,,
21771241.NX,,
ICSIA.PA,LYXOR CSIA INAV,PAR
Q0P.Z,STXE TM CON.SERV.PR.USD,ZRH
RNO3L.NX,,
NLTCG.NX,,
31562006.SG,,
Q77.Z,STX400TRV&LSRUSDPR,ZRH
IEAGG.NX,,
INCS9.PA,AMUNDI CS9 INAV,PAR
INEGY.NX,,
IACWI.NX,,
Q1W.Z,STXE6XUKT&L EURNR,ZRH
BECH.BR,,
INETI.PA,EASYETF ETI INAV,PAR
INPEF.NX,,
INCEC.NX,,
PSIHD.NX,,
INDJS.NX,,
INRGW.NX,,
SXFPDQ.Z,,
^SPXQUP,S&P 500 Quality (US Dollar),SNP
^QFNX,NASDAQ OMX CEA Smartphone Total,
QSMC.L,,
Q6B.Z,ESTXTMGEI EUR P,ZRH
IEMIM.NX,,
INAFS.PA,LYXOR AFS INAV,PAR
INCHM.PA,LYXOR CHM INAV,PAR
FRFNN.PA,CAC FINANCIALS NR,PAR
IJPNH.PA,LYXOR ULVO INAV,PAR
^NTGQRENTR,Northern Trust Global Quality R,NYS
INMAA.NX,,
Q01G.Z,STXAM6INS EUR NR,ZRH
INPWC.PA,PWSHARES PWC INAV,PAR
INENG.PA,BNPP ENG INAV,PAR
ASCXN.AS,ASCX NR,AMS
IDSUS.PA,LYXOR DSUS INAV,PAR
FRSS.PA,,
BEFPP.NX,,
NLTLG.NX,,
INBGL.PA,,
^SPXQUT,S&P 500 Quality (US Dollar) Gro,SNP
IN500.PA,AMUNDI 500 INAV,PAR
INMDA.NX,,
INSYA.NX,,
Q43.Z,STXETMNLI EUR NR,ZRH
INERE.PA,,
IEMAE.PA,SPDR EMAE INAV,PAR
CACDI.NX,,
IPEAP.PA,LYXOR PEAP INAV,PAR
QD7X.DE,INAVDBMSCIEMEM1CSE,GER
20944620.NX,,
Q3A.Z,ESTX TM PERS.+H.G. PR.USD,ZRH
IIEGA.PA,ISHARES IEGA INAV,PAR
IPDAX.NX,,
INC5S.NX,,
INXSX.NX,,
Q4P.Z,STXETMLSG EUR P,ZRH
^CQIDOL,^CQIDOL,SNP
IERC.NX,,
Q42.Z,STXETMNLI USD P,ZRH
Q4X.Z,STXE TM MINING PR.EUR,ZRH
Q3R.Z,STXETMETE EUR P,ZRH
SXEEDQ.Z,,
CACCC.NX,,
^QEFA-IV,SPDR MSCI EAFE StrategicFactors,NYSE
Q4W.Z,STXETMLFI USD NR,ZRH
^NTUQDDY,Northern Trust Quality Dividend,NYS
ICNKY.NX,,
CACSN.NX,,
Q4T.Z,STXETMLFI EUR P,ZRH
INCT5.NX,,
INLEM.NX,,
IVUSE.NX,,
INCS5.PA,AMUNDI CS5 INAV,PAR
INWRD.NX,,
ENVUG.AS,EN VIGEO UK 20 GR,AMS
INMJP.PA,HSBC ETFs MJP INAV,PAR
INDSD.NX,,
IPLMI.PA,LYXOR PLMI INAV,PAR
Q6M.Z,ESTXTMHHG EUR NR,ZRH
INGWT.PA,LYXOR GWT INAV,PAR
INPBW.PA,PWSHARES PBW INAV,PAR
ESEMG.NX,,
BEREP.NX,,
INUSP.NX,,
INCST.PA,LYXOR CST INAV,PAR
Q0D.Z,STXE6CNG USD NR,ZRH
Q012.Z,STXAM6RTL EUR P,ZRH
ITCBT.PA,,
INISV.NX,,
ICWEU.NX,,
INIFE.NX,,
IPSP5.NX,,
ICBU3.PA,CS ETF CBU3 INAV,PAR
FRCSN.PA,CAC CONS SERV NR,PAR
NEIBN.NX,,
CACTR.NX,,
INRUS.PA,LYXOR RUS INAV,PAR
